cable_id,cable_name,status,approval_year,construction_start_year,rfs_year,end_of_life_year,controlling_owner,owner_hq_country,ownership_model,shareholders,african_owned_pct,length_km,origin,destination,landings,region_served,cable_type,design_capacity_tbps,fibre_pairs,estimated_lit_capacity_tbps,tenants_iru,open_access,build_cost_usd_m,system_supplier,data_source,source_url,confidence,as_of_date,last_updated,notes
equiano,Equiano,in-service,2018,2020,2023,2048,Google LLC,US,sole-owned (private),Google LLC (100%),0,15000,"Sesimbra, PT","Melkbosstrand, ZA","Sesimbra, PT; Lagos, NG; Lome, TG; Swakopmund, NA; Rupert's Bay, SH; Melkbosstrand, ZA",West Africa; Southern Africa; Europe,fibre-optic-SDM,144,12,,n/a (sole-owned; capacity sold to customers),no,,Alcatel Submarine Networks (ASN),Google Cloud; Submarine Networks; Wikipedia,https://www.submarinenetworks.com/en/systems/euro-africa/equiano; https://en.wikipedia.org/wiki/Equiano_(submarine_communications_cable),confirmed,2026-06-03,2026-06-03,EOL estimated as RFS+25yr design life (not officially stated). ~20x capacity of prior West Africa cable per Google. Branching units allow further landings.
umoja,Umoja,under-construction,2024,2024,2026,2051,Google LLC,US,sole-owned (private),Google LLC (100%),0,,"Nairobi, KE","Perth, AU","Kenya (terrestrial spine via Uganda, Rwanda, DRC, Zambia, Zimbabwe to South Africa); subsea South Africa to Australia",East Africa; Southern Africa; East Asia,fibre-optic-SDM,,,,n/a (sole-owned),no,,SubCom (subsea); Liquid Intelligent Technologies (terrestrial),Google Cloud (Africa Connect); Submarine Networks; Connecting Africa,https://cloud.google.com/blog/products/infrastructure/investing-in-connectivity-and-growth-for-africa; https://www.submarinenetworks.com/en/systems/africa-australia/umoja,reported,2026-06-03,2026-06-03,"First direct Africa-Australia route. Subsea component manufactured/installed by SubCom (confirmed); terrestrial spine built with Liquid Intelligent Technologies (confirmed via Submarine Networks). Route via Uganda, Rwanda, DRC, Zambia, Zimbabwe to South Africa, then subsea to Australia, confirmed. Fibre-pair count, capacity and RFS year not yet disclosed (hence 'reported'). EOL estimated RFS+25."
2africa,2Africa,in-service,2020,2021,2025,2050,Meta Platforms (consortium lead),US,consortium,undisclosed,undisclosed,45000,"England, GB",loop around Africa (33 countries),"46 cable landing stations in 33 countries across Africa, Europe, Middle East and South Asia",West Africa; East Africa; Southern Africa; North Africa; Europe; Middle East; South Asia,fibre-optic-SDM,180,16,,,yes,,Alcatel Submarine Networks (ASN),Meta Engineering; Submarine Networks; The Dial,https://engineering.fb.com/2025/11/17/connectivity/core-2africa-system-completion-future-connectivity/; https://www.submarinenetworks.com/en/systems/asia-europe-africa/2africa,confirmed,2026-06-03,2026-06-03,"8-member consortium (Meta, Vodafone, Orange, MTN/Bayobab, China Mobile, stc/center3, Telecom Egypt, WIOCC). Equity/capacity splits NOT disclosed; Meta is lead and dominant funder. West segment 8 pairs x 21 Tbps = 168 Tbps; Mediterranean 16 pairs >180 Tbps. 'Open access' is a commercial-access claim, not African ownership. EOL estimated RFS+25."
waterworth,Project Waterworth,planned,2025,,,,Meta Platforms,US,sole-owned (private),Meta Platforms (100%),0,50000,United States,"multi-continent (US, India, Brazil, South Africa)",United States; India; Brazil; South Africa (plus others tbc),Southern Africa; South Asia; Americas; Europe,fibre-optic-SDM,,24,,"n/a (sole-owned, primarily internal use)",no,,,Meta Engineering (primary); Oxford Internet Institute,https://engineering.fb.com/2025/02/14/connectivity/project-waterworth-ai-subsea-infrastructure/; https://www.ox.ac.uk/news/2025-03-10-expert-comment-what-does-meta-s-undersea-cable-plan-mean-geopolitics,confirmed,2026-06-03,2026-06-03,"Length (>50,000 km), 24 fibre pairs, and landings (US, India, Brazil, South Africa across 5 continents) confirmed directly by Meta. World's longest subsea cable project; built primarily for Meta's own AI workloads. Meta's first single-contract private cable of this scale. Depths to 7,000 m. RFS year and exact Tbps not published by Meta ('multi-year investment')."
sat3-wasc,SAT-3/WASC,in-service,1999,1999,2001,2026,Consortium (36 operators),ZA,consortium,Largest three: TCI/AT&T (US); France Telecom (FR); VSNL (IN); plus 33 others incl. Telkom SA. Exact splits per consortium agreement,undisclosed,14350,"Sesimbra, PT","Melkbosstrand, ZA","Sesimbra, PT; Dakar, SN; Abidjan, CI; Accra, GH; Cotonou, BJ; Lagos, NG; Douala, CM; Libreville, GA; Cacuaco, AO; Melkbosstrand, ZA",West Africa; Southern Africa; Europe,fibre-optic,0.12,2,,,no,600,Alcatel; Tyco,Submarine Networks; Wikipedia; ITU (Jagun et al. 2008),https://www.submarinenetworks.com/en/systems/euro-africa/sat-3; https://en.wikipedia.org/wiki/SAT-3/WASC,confirmed,2026-06-03,2026-06-03,"Design capacity 120 Gbit/s (= 0.12 Tbps), ~6m simultaneous calls. Interconnects with SAFE at Melkbosstrand. Sources differ on RFS (2001 vs commercial 2002) and length (13,000-14,350 km). Approaching end of design life. African operators hold minority stakes."
wacs,West Africa Cable System (WACS),in-service,2009,2009,2012,2037,Consortium (14 members),ZA,consortium,"14-member consortium incl. MTN (~11% for ~US$90m), Telkom SA, Vodacom, Angola Cables, Tata, Cable&Wireless, Congo Telecom, Togo Telecom and others; individual splits largely undisclosed",undisclosed,14530,"Yzerfontein, ZA","London, GB","Yzerfontein, ZA (+12 along West African coast incl. Cape Verde, Canary Is.); Portugal; England (14 landings total)",West Africa; Southern Africa; Europe,fibre-optic,14.5,4,,,no,650,"Alcatel Submarine Networks (ASN); Huawei Marine (upgrades 2015, 2019)",Submarine Networks; Wikipedia,https://www.submarinenetworks.com/en/systems/euro-africa/wacs/wacs-overview; https://en.wikipedia.org/wiki/West_Africa_Cable_System,confirmed,2026-06-03,2026-06-03,"Initial design 5.12 Tbps, upgraded to ~14.5 Tbps. MTN's ~US$90m bought ~11% of initial capacity. EOL estimated RFS+25."
ace,Africa Coast to Europe (ACE),in-service,2010,2010,2012,2037,Orange (consortium lead),FR,consortium,20-member consortium led by Orange (France); members incl. national operators of connected states; splits undisclosed,undisclosed,17000,"Penmarch, FR","Cape Town, ZA","PoP-to-PoP Paris, Lisbon, Cape Town; 24 countries connected along West African coast",West Africa; Southern Africa; Europe,fibre-optic,20,2,,,no,700,Alcatel Submarine Networks (ASN),Submarine Networks; Wikipedia,https://www.submarinenetworks.com/en/systems/euro-africa/ace; https://en.wikipedia.org/wiki/Africa_Coast_to_Europe_(cable_system),confirmed,2026-06-03,2026-06-03,"Consortium agreement signed 5 Jun 2010; RFS 15 Dec 2012. Extended to South Africa 2021 (+4,000 km, total 17,000 km, 24 countries). Initial design 5.12 Tbps, upgraded to ~20 Tbps. Cost approximate. EOL estimated RFS+25."
mainone,MainOne,in-service,2008,2009,2010,2035,"Equinix, Inc.",US,sole-owned (private),"Equinix, Inc. (100%, acquired 2022 for US$320m; originally founded by Funke Opeke, Nigeria)",0,7000,"Seixal, PT","Lagos, NG","Seixal, PT; Accra, GH; Lagos, NG (with branches)",West Africa; Europe,fibre-optic,8,,,,yes,240,TE SubCom,Equinix; Submarine Networks; Ocean News,https://investor.equinix.com/news-events/press-releases/detail/4/equinix-enters-africa-closing-the-us320-million; https://www.submarinenetworks.com/en/systems/euro-africa/mainone,confirmed,2026-06-03,2026-06-03,"7,000 km, RFS July 2010, supplied by TE SubCom (confirmed). First privately owned cable on the West African coast; founded as a Nigerian initiative (Funke Opeke / MainOne Cable Company). Triggered ~80% wholesale price crash in Nigeria. Initial design 1.28 Tbps (dual fibre pair), proven/upgraded to ~4.96-10 Tbps. Now wholly US-owned after Equinix's US$320m acquisition completed 2022. Build cost ~US$240m approximate. EOL estimated RFS+25."
eassy,EASSy,in-service,2007,2008,2010,2035,WIOCC (largest shareholder),MU,consortium,"Largely African consortium led by WIOCC (~29%); 16+ members incl. Telkom SA, Botswana Telecom, Dalkom Somalia, others; DFI-underwritten (IFC, AfDB, EIB, KfW/DEG, AFD)",undisclosed,10000,"Port Sudan, SD","Mtunzini, ZA","Port Sudan, SD; Djibouti; Mogadishu, SO; Mombasa, KE; Dar es Salaam, TZ; Toliary/Tulear, MG; Maputo, MZ; Mtunzini, ZA (+others)",East Africa; Southern Africa,fibre-optic,36,2,,,yes,235,Alcatel Submarine Networks (ASN); Ciena (2014+ upgrades),Submarine Networks; WIOCC,https://www.submarinenetworks.com/en/systems/asia-europe-africa/eassy,confirmed,2026-06-03,2026-06-03,"RFS July 2010, 10,000 km, 2 fibre pairs, 9 landings (SD, DJ, SO, KE, TZ, KM, MG, MZ, ZA) - confirmed via Submarine Networks. Initial design 68x10Gbps DWDM, upgraded to 4.72 Tbps (2011), >10 Tbps (2014), 36 Tbps (Ciena GeoMesh). Initial investment ~US$235m. WIOCC is largest shareholder at 29%; DFI-underwritten (IFC, EIB, AfDB, AFD, KfW). 18-member largely African consortium."
seacom-1,SEACOM (original),in-service,2007,2008,2009,2034,Remgro / IPS (Aga Khan) (~30% each),ZA,joint-venture,Remgro (30%); IPS/Aga Khan (30%); Sanlam (15%); Solcon Capital / Convergence Partners (15%); Brian Herlihy (10%),75,13000,"Mtunzini, ZA","Marseille, FR / Mumbai, IN","Mtunzini, ZA; Maputo, MZ; Toliary, MG; Dar es Salaam, TZ; Mombasa, KE; Djibouti; Mumbai, IN; Marseille, FR",East Africa; Southern Africa; Europe; South Asia,fibre-optic,12,2,,,yes,650,Tyco Telecommunications,ITWeb; Submarine Networks; AFRINIC; CISP/SEACOM,https://www.itweb.co.za/article/cable-repairs-hit-seacoms-revenue-contribution-to-remgro/G98YdqLGwexMX2PD; https://en.wikipedia.org/wiki/SEACOM_(African_cable_system),confirmed,2026-06-03,2026-06-03,"Africa's first privately owned broadband subsea cable. Length cited variously 13,000-17,000 km (13,000 km in operator/AFRINIC materials; 17,000 km in some media). Initial design 1.28 Tbps, upgraded to 12+ Tbps. ~75% African at inception; current splits per ITWeb 2025. EOL estimated RFS+25. Build cost ~US$650m."
