facility_id,country_name,facility_name,city,operational_status,year_operational,facility_type,control_category,control_rationale,hyperscaler_presence,chinese_role,operator_name,ownership_type,major_shareholders,controlling_entities,control_mechanisms,dfi_involvement,investment_usd,key_tenants,ultimate_parent_hq_country,ultimate_parent_company,control_confidence
AGO-005,Angola,MSTelcom TCC (Telecom Command Centre),Luanda,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Angola),No,None identified,MSTelcom (Multiservicos de Telecomunicacoes),Government / SOE,Angolan State (100%),Government of Angola,Equity,None identified,,Oil companies; corporate clients; residential ISP customers,Angola,Government of Angola,high
AGO-006,Angola,MSTelcom ZEE DC,Luanda,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Angola),No,None identified,MSTelcom (Multiservicos de Telecomunicacoes),Government / SOE,Angolan State (100%),Government of Angola,Equity,None identified,,ISPs; corporate cloud customers,Angola,Government of Angola,high
AGO-007,Angola,MSTelcom Benfica DC,Luanda,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Angola),No,None identified,MSTelcom (Multiservicos de Telecomunicacoes),Government / SOE,Angolan State (100%),Government of Angola,Equity,None identified,,MSTelcom clients; corporate DR customers,Angola,Government of Angola,high
AGO-008,Angola,Unitel Luanda Sul,Luanda,Operational,2005,Enterprise,African control,African ultimate parent (Angola),No,Construction/Equipment,Unitel S.A.,Private domestic,"Angolan Government / Sonangol E.P. (Angolan, 100%)",Angolan Government (100% state-owned),Equity,IFC: advisory services to Unitel Money subsidiary for financial inclusion (no equity),,Domestic carriers; corporate enterprises,Angola,Angolan Government (100% state-owned),high
AGO-009,Angola,Unitel FILDA,Luanda,Operational,,Enterprise,African control,African ultimate parent (Angola),No,Construction/Equipment,Unitel S.A.,Private domestic,"Angolan Government / Sonangol E.P. (Angolan, 100%)",Angolan Government (100% state-owned),Equity,IFC: advisory services to Unitel Money subsidiary for financial inclusion (no equity),,Corporate enterprises; banks; Unitel internal systems,Angola,Angolan Government (100% state-owned),high
AGO-010,Angola,Multipla Data Center,Luanda,Operational,2013,Colocation/carrier-neutral,African control,African ultimate parent (Angola),No,None identified,Multipla,Private domestic,Not publicly disclosed,Unknown (no public information; privately held),Equity,None identified,,Banks; insurance companies; distribution companies,Angola,Unknown (no public information; privately held),high
AGO-011,Angola,Africell Angola Data Centre,Luanda,Operational,2021,Enterprise,US control,Jersey-incorporated; US-owned per register note (US investor base incl. US DFC),No,Construction/Equipment,Africell Angola,Private foreign,Ziad Dalloul (significant control); US investors; DFC/IFC (debt),Africell Global Holdings Ltd,Equity,"Yes: US DFC ($100M loan), IFC ($35-39M loan)",,Africell mobile network; Angolan SMEs and startups,Jersey,Africell Global Holdings Ltd,medium
BDI-001,Burundi,Burundi Backbone System (BBS) Data Centre,Bujumbura,Operational,2010,Enterprise,African control,Econet Group / Strive Masiyiwa (Zimbabwe) ultimate control; UK domicile and US DFC/Google/NVIDIA minority positions do not transfer control,No,Construction/Equipment,Burundi Backbone System SM,Joint venture (majority domestic),Government of Burundi (100%),Government of Burundi,Equity,None identified for Onatel Burundi (IFC involved with Onatel Burkina Faso),,Government of Burundi; universities; banks; ISPs,Burundi,Government of Burundi,high
BDI-002,Burundi,Lacell SU (Smart Burundi) Data Centre,Bujumbura,Operational,,Colocation/carrier-neutral,African control,AKFED Swiss-domiciled development institution; East African operational base — classification contestable,No,None identified,Lacell SU,Private domestic,"IPS Kenya (majority, Kenyan); Timeturns Holdings (minority, Cypriot/Russian)","Industrial Promotion Services (IPS) Kenya, subsidiary of Aga Khan Fund for Economic Development (AKFED)",Equity,"None found (AKFED is private development fund, not DFI like IFC)",,Telecoms operators; ISPs,Kenya / Switzerland,"Industrial Promotion Services (IPS) Kenya, subsidiary of Aga Khan Fund for Economic Development (AKFED)",low
BEN-001,Benin,Alink Telecom Cotonou Datacenter,Cotonou,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Benin),No,None identified,Alink Telecom,Private domestic,"Unnamed financial group (majority); Louis DiakitÃ© (founder, nationality: Beninese)","SANCFIS Group (formerly Alink Telecom Group), founded by Louis DiakitÃ© (Beninese); majority owned by unnamed financial group since 2004",Equity,None found,,,Benin,"SANCFIS Group (formerly Alink Telecom Group), founded by Louis DiakitÃ© (Beninese); majority owned by unnamed financial group since 2004",high
